f 爸爸
h,f,xs,s&o,w 姑表大伯嫂
h,f,xs,s&l 姑表小叔弟
h,f,xs,s&l,w 姑表小叔弟妇
h,f,xs,s,s 姑表夫侄男
h,f,xs,s,d 姑表夫侄女
h,f,xs,d&o 姑表大姑姐
h,f,xs,d&o,h 姑表大姑姐夫
h,f,xs,d&l 姑表小姑妹
h,f,xs,d&l,h 姑表小姑妹夫
h,f,xs,d,s 姑表夫甥男
h,f,xs,d,d 姑表夫甥女
h,m 婆婆
h,m,xb 舅公
h,m,xb,w 舅婆
h,m,xb,s&o 舅表大伯子
h,m,xb,s&o,w 舅表大伯嫂
h,m,xb,s&l 舅表小叔弟
h,m,xb,s&l,w 舅表小叔弟妇
h,m,xb,s,s 舅表夫侄男
h,m,xb,s,d 舅表夫侄女
h,m,xb,d&o 舅表大姑姐
h,m,xb,d&o,h 舅表大姑姐夫
h,m,xb,d&l 舅表小姑妹
h,m,xb,d&l,h 舅表小姑妹夫
h,m,xb,d,s 舅表夫甥男
h,m,xb,d,d 舅表夫甥女
h,m,xs 姨婆
h,m,xs,h 姨公
h,m,xs,s&o 姨表大伯子
h,m,xs,s&o,w 姨表大伯嫂
h,m,xs,s&l 姨表小叔弟
h,m,xs,s&l,w 姨表小叔弟妇
h,m,xs,s,s 姨表夫侄男
h,m,xs,s,d 姨表夫侄女
h,m,xs,d&o 姨表大姑姐
h,m,xs,d&o,h 姨表大姑姐夫
h,m,xs,d&l 姨表小姑妹
h,m,xs,d&l,h 姨表小姑妹夫
h,m,xs,d,s 姨表夫甥男
h,m,xs,d,d 姨表夫甥女
h,ob 大伯子
h,ob,w 大婶子
h,lb 小叔子
h,lb,w 小婶子
h,xb,s 叔侄
h,os 大姑子
h,os,h 大姑夫
h,s,d 孙女
h,ls 小姑子
h,ls,h 小姑夫
h,xs,s 姑甥
w 老婆
w,s 儿子
w,d 女儿
w,f 岳父
w,f,f 太岳父
w,f,f,f,xb,s,s&o 姻伯丈
w,f,f,f,xb,s,s&o,w 姻伯丈
w,f,f,f,xb,s,s&l 姻叔丈
w,f,f,f,xb,s,s&l,w 姻婶
w,f,f,ob 太伯岳
w,f,f,ob,w 太伯岳母
w,f,f,lb, 太叔岳
w,f,f,lb,w 太叔岳母
w,f,f,xb,s&o 姻伯
w,f,f,xb,s&o,w 姻姆
w,f,f,xb,s&l 姻叔
w,f,f,xb,s&l,w 姻婶
w,f,f,xs 太姑岳母
w,f,f,xs,h 太姑岳父
w,f,m 太岳母
w,f,m,xb 太舅岳父
w,f,m,xb,w 太舅岳母
w,f,m,xs 太姨岳母
w,f,m,xs,h 太姨岳父
w,f,xb,s&o 堂大舅
w,f,xb,s&l 堂舅仔
w,f,xb,d&o 堂大姨
w,f,xb,d&l 堂姨仔
w,f,ob 伯岳
w,f,ob,w 伯岳母
w,f,lb 叔岳
w,f,lb,w 叔岳母
w,f,xs 姑岳母
w,f,xs,h 姑岳父
w,f,xs,s&o 表大舅
w,f,xs,s&o,w 表内嫂
w,f,xs,s&l 表舅仔
w,f,xs,s&l,w 表内弟妇
w,f,xs,d&o 表大姨
